"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2017",28.7,
"AUS","WOMENPOLVOICE","POLREPRES","PC","A","2019",30,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2017",30.6,
"AUT","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.2,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2017",38,
"BEL","WOMENPOLVOICE","POLREPRES","PC","A","2019",38,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2017",26.3,
"CAN","WOMENPOLVOICE","POLREPRES","PC","A","2019",26.9,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2017",20,
"CZE","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.5,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2017",37.4,
"DNK","WOMENPOLVOICE","POLREPRES","PC","A","2019",37.4,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2017",42,
"FIN","WOMENPOLVOICE","POLREPRES","PC","A","2019",47,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2017",25.8,
"FRA","WOMENPOLVOICE","POLREPRES","PC","A","2019",39.7,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2017",37,
"DEU","WOMENPOLVOICE","POLREPRES","PC","A","2019",30.9,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2017",18.3,
"GRC","WOMENPOLVOICE","POLREPRES","PC","A","2019",18.7,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2017",10.1,
"HUN","WOMENPOLVOICE","POLREPRES","PC","A","2019",12.6,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2017",47.6,
"ISL","WOMENPOLVOICE","POLREPRES","PC","A","2019",38.1,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2017",22.2,
"IRL","WOMENPOLVOICE","POLREPRES","PC","A","2019",22.2,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2017",31,
"ITA","WOMENPOLVOICE","POLREPRES","PC","A","2019",35.7,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2017",9.3,
"JPN","WOMENPOLVOICE","POLREPRES","PC","A","2019",10.2,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2017",17,
"KOR","WOMENPOLVOICE","POLREPRES","PC","A","2019",17.1,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2017",28.3,
"LUX","WOMENPOLVOICE","POLREPRES","PC","A","2019",25,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2017",42.6,
"MEX","WOMENPOLVOICE","POLREPRES","PC","A","2019",48.2,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2017",38,
"NLD","WOMENPOLVOICE","POLREPRES","PC","A","2019",31.3,
